np_id	pref_name	iupac_name	chembl_id	pubchem_cid	MW	LogS	LogD	LogP	nHA	nHD	TPSA	nRot	nRing	InChI	InChIKey	SMILES	LogP_pred	ALogp2	AMR	nHA_pred	nHD_pred	TPSA_pred	MW_pred	passes_lipinski_mw	passes_lipinski_logp	passes_lipinski_hbd	passes_lipinski_hba	passes_tpsa	passes_ADMET	compound
NPC257124	Eugenol	2-methoxy-4-prop-2-enylphenol	CHEMBL42710	3314	164.08	-2.286	2.418	2.291	2	1	29.46	3	1	InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3	RRAFCDWBNXTKKO-UHFFFAOYSA-N	C=CCc1ccc(c(c1)OC)O	2.5541	6.52342681	48.5026	1	1	29.46	164.2014578689283	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Eugenol
NPC259134	1-Methoxy-4-[(Z)-Prop-1-Enyl]Benzene	1-methoxy-4-[(Z)-prop-1-enyl]benzene	CHEMBL1468832	1549040	148.09	-3.282	2.752	2.934	1	0	9.23	2	1	InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-	RUVINXPYWBROJD-ARJAWSKDSA-N	C/C=C\c1ccc(cc1)OC	2.7676	7.6596097599999995	47.88100000000001	0	0	9.23	148.2020529413589	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1-Methoxy-4-[(Z)-Prop-1-Enyl]Benzene
NPC292758	(1R)-2-[(2R,6R)-6-[(2S)-2-Hydroxy-2-Phenylethyl]-1-Methylpiperidin-2-Yl]-1-Phenylethanol	(1R)-2-[(2R,6R)-6-[(2S)-2-hydroxy-2-phenylethyl]-1-methylpiperidin-2-yl]-1-phenylethanol	CHEMBL1473116	6604328	339.22	-2.783	2.724	2.991	3	2	43.7	6	3	InChI=1S/C22H29NO2/c1-23-19(15-21(24)17-9-4-2-5-10-17)13-8-14-20(23)16-22(25)18-11-6-3-7-12-18/h2-7,9-12,19-22,24-25H,8,13-16H2,1H3/t19-,20-,21-,22+/m1/s1	OWGJQNXIWMMDTH-YSFYHYPLSA-N	CN1[C@H](CCC[C@@H]1C[C@@H](c1ccccc1)O)C[C@H](c1ccccc1)O	3.5650999999999997	12.709938009999998	102.35070000000002	3	2	43.7	339.4719846524585	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	(1R)-2-[(2R,6R)-6-[(2S)-2-Hydroxy-2-Phenylethyl]-1-Methylpiperidin-2-Yl]-1-Phenylethanol
NPC29771	Dimethylacrylshikonin	[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 3-methylbut-2-enoate	CHEMBL267024	479499	370.14	-3.193	3.076	5.423	6	4	107.22	5	2	InChI=1S/C21H22O6/c1-11(2)5-8-17(27-18(25)9-12(3)4)13-10-16(24)19-14(22)6-7-15(23)20(19)21(13)26/h5-7,9-10,17,22-23H,8H2,1-4H3/t17-/m1/s1	BATBOVZTQBLKIL-QGZVFWFLSA-N	CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)C=C(C)C)C	4.319500000000003	18.65808025000003	103.1511	6	2	100.9	370.39657998213175	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Dimethylacrylshikonin
NPC299405	Acetylshikonin	[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] acetate	CHEMBL403516	479501	330.11	-3.031	2.569	4.424	6	4	107.22	4	2	InChI=1S/C18H18O6/c1-9(2)4-7-15(24-10(3)19)11-8-14(22)16-12(20)5-6-13(21)17(16)18(11)23/h4-6,8,15,20-21H,7H2,1-3H3/t15-/m1/s1	WNFXUXZJJKTDOZ-OAHLLOKOSA-N	CC(=O)O[C@@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)CC=C(C)C	2.7732000000000006	7.690638240000003	88.4728	6	2	100.9	330.3326092764645	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Acetylshikonin
NPC306765	Deoxyshikonin	5,8-dihydroxy-2-(4-methylpent-3-enyl)naphthalene-1,4-dione	CHEMBL486627	98914	272.1	-2.988	3.242	4.727	4	4	80.92	2	2	InChI=1S/C16H16O4/c1-9(2)4-3-5-10-8-13(19)14-11(17)6-7-12(18)15(14)16(10)20/h4,6-8,17-18H,3,5H2,1-2H3	VOMDIEGPEURZJO-UHFFFAOYSA-N	CC(=CCCC1=CC(=O)c2c(C1=O)c(O)ccc2O)C	3.4959999999999996	12.222015999999996	77.8062	4	2	74.60000000000001	272.29644612009815	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Deoxyshikonin
NPC32749	[(1R)-1-(5,8-Dihydroxy-1,4-Dioxonaphthalen-2-Yl)-4-Methylpent-3-Enyl] 3-Methylbutanoate	[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 3-methylbutanoate	CHEMBL395857	479497	372.16	-3.346	3.53	5.52	6	4	107.22	6	2	InChI=1S/C21H24O6/c1-11(2)5-8-17(27-18(25)9-12(3)4)13-10-16(24)19-14(22)6-7-15(23)20(19)21(13)26/h5-7,10,12,17,22-23H,8-9H2,1-4H3/t17-/m1/s1	UTOUNDHZJFIVPK-QGZVFWFLSA-N	CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)CC(C)C)C	4.148099999999997	17.206733609999972	102.2493	6	2	100.9	372.4124614897833	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	[(1R)-1-(5,8-Dihydroxy-1,4-Dioxonaphthalen-2-Yl)-4-Methylpent-3-Enyl] 3-Methylbutanoate
NPC61284	Shikonofuran D	[1-[5-(2,5-dihydroxyphenyl)furan-3-yl]-4-methylpent-3-enyl] 2-methylpropanoate	CHEMBL1946216	5321289	344.16	-3.675	4.01	5.203	5	2	79.9	7	2	InChI=1S/C20H24O5/c1-12(2)5-8-18(25-20(23)13(3)4)14-9-19(24-11-14)16-10-15(21)6-7-17(16)22/h5-7,9-11,13,18,21-22H,8H2,1-4H3	CXGBJXJKCPQSQI-UHFFFAOYSA-N	CC(=CCC(c1cc(c2cc(ccc2O)O)oc1)OC(=O)C(C)C)C	4.928200000000001	24.28715524000001	95.68509999999999	4	2	79.9	344.40232066542586	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Shikonofuran D
NPC68752	WNFXUXZJJKTDOZ-UHFFFAOYSA-N	n.a.	n.a.	32464	330.11	-3.031	2.569	4.424	6	4	107.22	4	2	InChI=1S/C18H18O6/c1-9(2)4-7-15(24-10(3)19)11-8-14(22)16-12(20)5-6-13(21)17(16)18(11)23/h4-6,8,15,20-21H,7H2,1-3H3	WNFXUXZJJKTDOZ-UHFFFAOYSA-N	CC(=CCC(C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)C)C	2.7732000000000006	7.690638240000003	88.4728	6	2	100.9	330.3326092764646	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	WNFXUXZJJKTDOZ-UHFFFAOYSA-N
NPC96835	Phenanthrene	phenanthrene	CHEMBL46730	995	178.08	-5.966	3.995	4.48	0	0	0	0	3	InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H	YNPNZTXNASCQKK-UHFFFAOYSA-N	c1ccc2c(c1)c1ccccc1cc2	3.6468000000000003	13.299150240000001	58.9584	0	0	0	178.22971009328987	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Phenanthrene
