"module","size","avg_degree","max_degree","internal_edges","external_edges","density","external_ratio"
1,18,14.2222222222222,48,90,76,0.588235294117647,0.457831325301205
2,11,15.4545454545455,38,50,70,0.909090909090909,0.583333333333333
3,7,16.5714285714286,24,38,40,1.80952380952381,0.512820512820513
4,3,4.66666666666667,8,4,6,1.33333333333333,0.6
